x,y,name,idx,path_idx,inst_idx,path,col,fill,alpha,lwd,lineend,linejoin,linemitre,fontsize,cex,fontfamily,font,xpath,tag,elem_idx,random,class,GDD,Tissue,order
483.825780720817,15.9157710853254,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.020872896336749,a,2564,Kernel,23
483.936099635081,15.5857161015212,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.333885861029479,a,2564,Kernel,24
484.051767108123,15.2630156627988,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.00867916004868148,a,2564,Kernel,25
484.172710074214,14.9482365820657,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0694551227068279,a,2564,Kernel,26
484.298855467629,14.6419456722293,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.058418625204481,a,2564,Kernel,27
484.430130222641,14.3447097461971,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0442176074980056,a,2564,Kernel,28
484.566461273525,14.0570956168765,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.193150387712259,a,2564,Kernel,29
484.707775554553,13.779670097175,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.19857884355394,a,2564,Kernel,30
484.854,13.513,bezier3,1,2,2,c -0.216 -3.394 0.543 -7.505 1.98 -10.029,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.0621768487817456,a,2564,Kernel,31
484.854,13.513,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0838361485319511,a,2564,Kernel,32
485.076100455123,13.1249423100578,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.00775144572341516,a,2564,Kernel,33
485.304325638608,12.7586550084054,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.169550888668662,a,2564,Kernel,34
485.538250932798,12.4136564024765,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0773367437020144,a,2564,Kernel,35
485.777451720038,12.0894647997048,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0081489616298018,a,2564,Kernel,36
486.021503382673,11.7855985075239,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0417255226430297,a,2564,Kernel,37
486.269981303047,11.5015758333675,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0781913524928324,a,2564,Kernel,38
486.522460863504,11.2369150846693,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.198499179784573,a,2564,Kernel,39
486.77851744639,10.991134568863,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.101422120264629,a,2564,Kernel,40
487.037726434048,10.7637525933823,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0895400108087413,a,2564,Kernel,41
487.299663208824,10.5542874656607,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.201899285311488,a,2564,Kernel,42
487.563903153061,10.3622574931322,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.0800904218573247,a,2564,Kernel,43
487.830021649104,10.1871809832301,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.13709375467816,a,2564,Kernel,44
